test_before,test_after
0.6121366620063782,50.913387298583984
3.152463912963867,57.019805908203125
6.780086517333984,60.017059326171875
10.04192066192627,59.5512580871582
12.104658126831055,61.649417877197266
14.38427448272705,63.21236038208008
16.02899932861328,62.60055923461914
16.81308937072754,64.00125885009766
16.80193519592285,64.57630157470703
18.015567779541016,63.2420539855957
16.42357063293457,64.37184143066406
18.232826232910156,64.67791748046875
20.604045867919922,65.1375732421875
20.4407901763916,65.5335922241211
20.737031936645508,66.04838562011719
21.386333465576172,66.33927917480469
21.649534225463867,66.22750091552734
21.386077880859375,66.59886932373047
21.714452743530273,67.39407348632812
22.769201278686523,66.64239501953125
22.446556091308594,66.80522918701172
23.140609741210938,66.5562744140625
23.550546646118164,67.29008483886719
23.945404052734375,66.5667953491211
23.31134796142578,67.5701675415039
24.27779197692871,66.96407318115234
24.83108901977539,67.62662506103516
24.375755310058594,68.1282730102539
24.805044174194336,66.84100341796875
25.34507179260254,67.09313201904297
24.01946258544922,66.92980194091797
25.310745239257812,66.8216552734375
25.31521224975586,67.18343353271484
25.415664672851562,66.34638214111328
25.697484970092773,66.05123901367188
26.008102416992188,66.26154327392578
25.953371047973633,66.43773651123047
26.91153335571289,66.79052734375
26.473876953125,66.20564270019531
25.738969802856445,66.42721557617188
26.05174446105957,65.80877685546875
25.984373092651367,66.26321411132812
26.448339462280273,65.75235748291016
26.340028762817383,65.69818878173828
26.401308059692383,64.8927993774414
27.206050872802734,64.48773956298828
26.269092559814453,65.55931091308594
27.301618576049805,64.01065826416016
27.021812438964844,64.77153015136719
27.667253494262695,63.5070686340332
